datetime,A_Leq,A_L10,A_L95,C_Leq,C_L10,C_L95,source_file,noise_class
2013-04-07 09:45:00,67.13,77.44,48.89,67.75,77.01,52.56,DCC-NOISE-001003-2013-04-07T00-00-00.txt,1
2013-09-24 10:35:00,65.85,70.24,58.02,71.15,76.08,63.19,DCC-NOISE-001003-2013-09-24T00-00-00.txt,1
2013-12-05 09:37:00,68.36,73.67,59.42,78.93,85.78,65.36,DCC-NOISE-001003-2013-12-05T00-00-00.txt,1
2013-02-05 15:20:00,63.98,64.06,57.43,69.32,72.94,61.29,DCC-NOISE-001014-2013-02-05T00-00-00.txt,1
2013-10-21 09:42:00,60.79,64.48,55.46,63.16,66.2,58.54,DCC-NOISE-001003-2013-10-21T00-00-00.txt,0
2013-01-31 13:15:00,61.99,65.29,56.76,70.06,76.94,61.86,DCC-NOISE-001014-2013-01-31T00-00-00.txt,0
2013-12-20 10:40:00,63.87,66.75,60.17,66.91,69.53,63.15,DCC-NOISE-001003-2013-12-20T00-00-00.txt,1
2013-08-18 15:45:00,79.68,85.48,68.56,82.17,87.55,72.77,DCC-NOISE-001003-2013-08-18T00-00-00.txt,1
2013-05-12 13:00:00,60.41,62.25,57.09,66.26,71.17,60.07,DCC-NOISE-001003-2013-05-12T00-00-00.txt,0
2013-05-13 11:00:00,64.8,68.64,59.52,70.28,74.74,64.3,DCC-NOISE-001003-2013-05-13T00-00-00.txt,1
2013-02-13 09:30:00,60.84,63.88,56.2,64.21,67.34,60.21,DCC-NOISE-001014-2013-02-13T00-00-00.txt,0
2013-09-24 12:10:00,55.3,58.57,48.69,59.98,62.86,54.31,DCC-NOISE-001003-2013-09-24T00-00-00.txt,0
2013-03-21 17:40:00,60.24,62.78,56.47,64.68,66.78,60.9,DCC-NOISE-001003-2013-03-21T00-00-00.txt,0
2013-11-22 06:46:00,57.63,60.14,53.77,60.85,62.92,57.09,DCC-NOISE-001003-2013-11-22T00-00-00.txt,0
2013-04-16 10:30:00,63.97,67.7,58.36,73.32,80.13,63.94,DCC-NOISE-001003-2013-04-16T00-00-00.txt,1
2013-07-30 05:45:00,51.91,56.23,47.81,55.47,59.09,51.9,DCC-NOISE-001003-2013-07-30T00-00-00.txt,0
2013-05-10 14:25:00,68.67,70.65,66.13,68.99,70.35,66.25,DCC-NOISE-001003-2013-05-10T00-00-00.txt,1
